"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 01-Apr-2022","30 D % CHNG 
 02-Mar-2023"
"NIFTY MIDSMALLCAP 400","10,360.20","10,459.35","10,358.95","10,313.80","10,428.65","114.85","1.11","1,163,885,423","169,116,417,062.60","11,485.85","8,815.80","-2.32","-1.99"
"SONATSOFTW","756.10","848.00","756.10","751.65","843.00","91.35","12.15","3,795,211","3,128,961,708.95","855.60","457.59","11.26","4.32"
"APARINDS","2,298.45","2,507.65","2,285.75","2,279.70","2,507.65","227.95","10.00","531,313","1,305,967,354.00","2,507.65","556.25","270.25","7.68"
"BCG","13.00","14.60","12.00","13.30","14.60","1.30","9.77","126,445,221","1,686,779,248.14","108.75","12.00","-","-33.18"
"BLS","153.00","167.60","153.00","151.25","165.05","13.80","9.12","6,922,255","1,118,636,408.00","208.90","57.70","-32.94","0.79"
"EASEMYTRIP","40.50","44.40","40.50","39.90","43.40","3.50","8.77","16,964,069","726,401,434.58","476.50","39.70","-87.39","-13.15"
"MFL","884.00","954.70","879.05","874.50","942.00","67.50","7.72","176,402","163,792,785.04","1,736.00","815.00","-5.71","-6.95"
"HLEGLAS","474.05","533.70","472.25","467.15","501.00","33.85","7.25","673,103","350,471,270.04","1,179.60","465.00","-91.05","-3.40"
"LODHA","870.00","944.50","841.70","866.50","928.10","61.60","7.11","1,256,275","1,140,672,574.50","1,221.90","711.00","-21.19","-6.72"
"TRIDENT","26.40","28.20","26.35","26.25","28.00","1.75","6.67","16,795,270","463,381,499.30","57.40","25.05","-","-9.69"
"GRANULES","275.00","291.80","274.75","273.25","290.90","17.65","6.46","2,403,068","688,743,319.48","381.00","226.95","-7.15","2.72"
"POWERINDIA","3,186.60","3,382.45","3,155.05","3,169.95","3,356.00","186.05","5.87","34,033","111,883,147.17","3,915.00","2,750.10","-4.38","0.32"
"PNBHOUSING","495.00","551.80","491.00","485.40","512.20","26.80","5.52","5,866,126","3,082,825,196.78","654.80","311.45","30.97","-12.91"
"CRAFTSMAN","3,158.45","3,287.95","3,105.90","3,105.65","3,268.00","162.35","5.23","50,766","161,976,537.90","3,710.95","2,026.60","37.51","-1.12"
"MAHLIFE","340.85","355.00","336.00","335.55","353.00","17.45","5.20","197,607","68,852,207.01","550.75","309.05","-7.18","-2.96"
"GREENPANEL","257.00","274.00","257.00","256.75","270.00","13.25","5.16","449,904","120,722,740.32","625.70","255.00","-52.92","-3.85"
"APLLTD","479.40","509.40","471.00","468.65","492.80","24.15","5.15","1,129,562","565,695,945.22","792.90","462.30","-34.05","-1.38"
"MOTILALOFS","585.80","619.95","585.00","580.15","610.00","29.85","5.15","213,580","130,115,071.80","960.00","551.25","-31.88","1.69"
"BALRAMCHIN","380.55","398.20","380.00","375.55","394.80","19.25","5.13","3,755,613","1,475,730,572.22","525.90","307.30","-18.04","9.32"
"ADANIPOWER","190.45","191.60","188.65","182.50","191.60","9.10","4.99","7,735,789","1,480,243,225.15","432.50","132.40","-5.82","18.82"
"TTML","55.45","55.45","55.45","52.85","55.45","2.60","4.92","691,697","38,354,598.65","210.40","49.65","-68.31","-10.20"
"RTNINDIA","34.20","35.65","34.05","33.60","35.20","1.60","4.76","1,366,724","47,479,991.76","59.65","30.50","-26.00","-9.06"
"CGCL","607.50","720.00","600.05","601.55","630.00","28.45","4.73","732,874","479,101,720.02","769.48","513.95","7.51","-2.69"
"CHOLAHLDNG","527.60","549.00","522.50","523.65","548.00","24.35","4.65","21,663","11,556,127.35","697.50","511.30","-12.38","-6.65"
"TTKPRESTIG","675.00","704.95","675.00","670.95","701.15","30.20","4.50","148,136","102,609,363.12","1,049.90","652.35","-15.87","-9.52"
"GRINDWELL","1,814.00","1,897.70","1,785.65","1,813.65","1,895.00","81.35","4.49","52,636","96,826,553.80","2,328.35","1,451.00","3.95","3.74"
"ENGINERSIN","72.45","75.00","72.10","71.70","74.90","3.20","4.46","2,214,968","162,733,698.96","90.75","56.00","12.46","0.61"
"MPHASIS","1,732.95","1,802.45","1,732.95","1,718.20","1,794.25","76.05","4.43","748,058","1,330,884,948.96","3,465.80","1,661.20","-46.30","-12.28"
"QUESS","358.05","377.00","358.05","357.50","373.00","15.50","4.34","705,439","258,726,807.64","729.00","337.55","-44.31","1.58"
"PATANJALI","925.65","971.65","925.40","925.40","965.00","39.60","4.28","510,695","491,886,103.15","1,495.00","714.50","-","1.94"
"GLENMARK","446.00","468.00","445.75","445.45","464.50","19.05","4.28","2,148,176","993,123,246.56","487.55","348.50","2.73","10.89"
"SUNTECK","271.10","291.50","271.10","272.95","284.60","11.65","4.27","589,276","168,367,938.72","539.00","271.10","-41.60","-7.41"
"GOCOLORS","954.15","1,020.40","946.50","954.15","994.65","40.50","4.24","72,899","72,660,620.27","1,453.00","874.00","0.93","5.87"
"SUPRAJIT","335.55","348.45","332.20","332.30","346.15","13.85","4.17","153,634","52,631,935.72","398.40","299.00","-6.38","-7.29"
"IRB","24.80","25.25","24.50","24.20","25.20","1.00","4.13","12,331,254","307,418,162.22","34.90","17.89","-90.40","-12.22"
"INDIACEM","178.00","186.35","177.20","177.20","184.50","7.30","4.12","3,632,043","665,789,802.33","298.95","145.45","-15.23","-5.80"
"TRITURBINE","325.05","335.75","321.65","321.35","334.50","13.15","4.09","1,166,456","384,802,169.84","368.50","147.25","63.43","3.56"
"UTIAMC","622.95","646.45","621.75","615.70","640.50","24.80","4.03","190,688","121,571,227.52","1,025.95","595.00","-34.97","-4.41"
"RBLBANK","137.50","141.90","137.10","135.80","141.25","5.45","4.01","7,600,764","1,066,995,250.32","189.30","74.15","2.99","-12.33"
"SKFINDIA","4,137.75","4,293.95","4,116.05","4,117.15","4,280.00","162.85","3.96","24,908","104,574,743.52","5,175.00","2,981.30","20.30","-4.52"
"TCIEXP","1,422.10","1,500.00","1,422.10","1,440.35","1,496.95","56.60","3.93","18,701","27,369,287.52","2,013.00","1,380.25","-13.35","-5.45"
"COFORGE","3,694.00","3,824.40","3,680.05","3,660.35","3,804.00","143.65","3.92","276,488","1,043,653,723.84","4,605.00","3,210.05","-13.61","-10.25"
"ANURAS","833.45","870.00","833.45","832.90","865.10","32.20","3.87","264,416","226,519,898.88","884.00","546.75","4.11","22.47"
"JSL","282.15","290.05","278.50","279.25","290.00","10.75","3.85","2,669,791","757,312,915.06","329.00","95.05","43.79","3.89"
"RBA","88.00","91.50","87.90","87.05","90.20","3.15","3.62","1,797,714","162,279,642.78","137.80","84.50","-20.09","-4.91"
"PRAJIND","321.00","344.60","321.00","327.50","339.30","11.80","3.60","1,503,717","508,346,569.02","461.60","289.05","-13.67","0.25"
"RHIM","610.00","638.40","603.70","604.35","626.00","21.65","3.58","427,378","267,512,985.32","892.90","455.70","3.57","-2.32"
"HFCL","60.05","62.95","60.05","58.75","60.80","2.05","3.49","13,373,696","825,825,728.00","88.80","51.55","-24.75","-7.09"
"GMRINFRA","39.40","40.70","39.15","39.20","40.55","1.35","3.44","12,953,895","519,969,345.30","44.30","31.75","4.24","5.05"
"BSE","420.00","438.75","419.10","415.85","430.10","14.25","3.43","1,257,674","544,874,683.76","960.00","406.20","-53.92","-2.81"
"AETHER","920.50","949.00","920.50","905.20","936.00","30.80","3.40","111,705","104,349,225.75","1,048.90","701.00","-","7.07"
"IPCALAB","783.00","817.00","783.00","786.45","812.85","26.40","3.36","407,781","329,205,679.11","1,095.00","767.50","-21.13","0.65"
"JAMNAAUTO","96.40","101.30","96.40","96.40","99.60","3.20","3.32","564,998","56,319,000.64","135.50","94.40","-2.73","-1.53"
"GNFC","496.00","516.85","496.00","493.15","509.50","16.35","3.32","1,118,444","570,395,255.56","912.00","484.45","-40.96","-6.11"
"COCHINSHIP","486.10","496.70","471.80","459.00","474.20","15.20","3.31","3,230,470","1,555,632,828.50","687.00","290.30","57.09","3.60"
"HONAUT","35,350.00","36,678.60","35,172.55","35,236.55","36,400.05","1,163.50","3.30","6,924","250,531,784.40","44,347.15","30,185.35","-8.50","2.78"
"GRINFRA","1,037.70","1,064.40","996.05","972.50","1,004.00","31.50","3.24","204,669","207,884,349.99","1,812.80","930.00","-35.14","-1.01"
"MANYAVAR","1,113.15","1,181.00","1,106.80","1,104.35","1,140.00","35.65","3.23","111,443","125,897,157.10","1,501.55","888.70","14.09","-5.35"
"METROPOLIS","1,207.55","1,253.50","1,171.35","1,201.50","1,240.15","38.65","3.22","240,658","296,228,338.78","2,570.60","1,171.35","-40.30","-5.25"
"INTELLECT","400.00","412.90","400.00","397.75","410.50","12.75","3.21","545,795","222,689,817.95","986.65","388.65","-54.88","-7.70"
"ELGIEQUIP","428.30","446.65","428.30","428.30","442.00","13.70","3.20","203,448","89,073,603.36","566.60","248.70","49.03","-8.24"
"LINDEINDIA","3,960.00","4,123.95","3,921.05","3,903.85","4,027.00","123.15","3.15","93,224","377,613,134.40","4,190.00","2,710.00","4.47","7.96"
"MTARTECH","1,556.95","1,601.45","1,550.00","1,534.75","1,583.00","48.25","3.14","113,907","180,704,342.94","1,823.90","1,205.00","-9.76","-8.85"
"GLAXO","1,276.05","1,331.00","1,276.05","1,275.70","1,315.00","39.30","3.08","48,862","64,078,604.04","1,734.00","1,231.00","-20.11","-0.08"
"BANDHANBNK","192.00","197.80","191.00","189.90","195.75","5.85","3.08","15,449,908","3,005,007,106.00","349.55","182.15","-38.89","-16.45"
"NAM-INDIA","205.15","211.50","204.20","204.15","210.40","6.25","3.06","943,531","197,594,262.02","357.10","196.90","-37.87","-6.10"
"TRENT","1,336.00","1,389.00","1,336.00","1,335.85","1,376.50","40.65","3.04","675,734","922,782,350.40","1,566.00","982.85","8.40","7.00"
"AFFLE","965.00","989.50","962.20","960.40","989.50","29.10","3.03","305,049","298,462,992.09","1,369.00","871.55","-22.19","-2.06"
"KPITTECH","903.95","946.65","901.05","895.95","923.00","27.05","3.02","2,707,463","2,510,495,066.75","946.65","440.40","52.09","9.32"
"ALKEM","3,312.70","3,414.35","3,296.30","3,300.30","3,399.30","99.00","3.00","248,234","838,738,003.88","3,724.95","2,828.00","-2.78","8.62"
"HOMEFIRST","698.00","760.00","694.90","705.45","726.60","21.15","3.00","315,990","228,448,130.40","1,004.55","652.00","-5.71","-1.57"
"JKPAPER","371.75","383.95","370.00","370.85","381.90","11.05","2.98","430,797","164,340,439.56","453.20","267.10","17.70","-1.66"
"VARROC","245.00","252.60","244.30","242.85","250.00","7.15","2.94","158,451","39,397,256.64","493.85","239.45","-32.53","0.42"
"IIFL","470.00","493.95","460.40","467.75","481.40","13.65","2.92","650,429","310,664,403.27","538.00","272.60","67.42","10.02"
"UNOMINDA","464.90","487.00","462.20","466.20","479.80","13.60","2.92","777,816","371,741,600.88","996.60","435.00","-","-3.99"
"EDELWEISS","51.50","54.10","51.50","51.50","53.00","1.50","2.91","1,748,859","93,021,810.21","77.40","49.40","-11.30","-17.30"
"APOLLOTYRE","313.10","321.00","312.00","311.50","320.50","9.00","2.89","2,701,524","860,867,637.84","343.05","167.10","63.46","1.90"
"RUSTOMJEE","452.35","469.40","452.30","450.05","463.00","12.95","2.88","41,331","19,071,776.64","597.00","435.00","-","1.74"
